z_score,join_rate,n,join_se,api_error_rate
-3.0,0.8,10,0.13333333333333333,0.0
-2.7,0.9,10,0.09999999999999999,0.0
-2.4,0.7,10,0.15275252316519464,0.0
-2.1,0.9,10,0.09999999999999999,0.0
-1.8,0.9,10,0.09999999999999999,0.0
-1.5,0.8,10,0.13333333333333333,0.0
-1.2000000000000002,0.6,10,0.16329931618554522,0.0
-0.8999999999999999,0.5,10,0.16666666666666666,0.0
-0.6000000000000001,0.4,10,0.16329931618554522,0.0
-0.30000000000000027,0.2,10,0.13333333333333333,0.0
0.0,0.1,10,0.09999999999999999,0.0
0.2999999999999998,0.0,10,0.0,0.0
0.5999999999999996,0.2,10,0.13333333333333333,0.0
0.8999999999999999,0.0,10,0.0,0.0
1.2000000000000002,0.0,10,0.0,0.0
1.5,0.0,10,0.0,0.0
1.7999999999999998,0.0,10,0.0,0.0
2.0999999999999996,0.0,10,0.0,0.0
2.3999999999999995,0.0,10,0.0,0.0
2.7,0.0,10,0.0,0.0
3.0,0.0,10,0.0,0.0
